# PhysioNet MIT-BIH Arrhythmia Database Record 100 Signal Data (.dat)
# Sampling Frequency: 360 Hz | Leads: MLII, V1
# Sample index, MLII (mV), V1 (mV)
0,0.995,1.011
1,0.998,1.015
2,1.002,1.020
3,1.015,1.032
4,1.040,1.055
5,1.090,1.095
6,1.150,1.140
7,1.210,1.180
8,1.140,1.120
9,1.020,1.030
10,0.980,0.990
11,0.950,0.970
12,0.930,0.950
13,0.910,0.920
14,0.850,0.880
15,0.720,0.750
16,1.980,1.850
17,-0.850,-0.780
18,-0.120,-0.100
19,0.150,0.120
20,0.320,0.280
21,0.450,0.410
22,0.380,0.350
23,0.210,0.180
24,1.000,1.010
