timestamp_ms,lead_II_mv,heart_rate_bpm
0,0.02,72
20,0.03,72
40,0.05,72
60,0.12,72
80,0.22,72
100,0.15,72
120,0.04,72
140,0.01,72
160,-0.02,72
180,-0.01,72
200,0.00,72
220,-0.08,72
240,-0.25,72
260,1.45,72
280,-0.45,72
300,-0.12,72
320,0.01,72
340,0.03,72
360,0.08,72
380,0.18,72
400,0.32,72
420,0.28,72
440,0.14,72
460,0.03,72
480,0.00,72
500,0.01,72
520,0.01,72
540,0.02,72
560,0.02,72
580,0.01,72
600,0.00,72
620,0.01,72
640,0.02,72
660,0.03,72
680,0.05,72
700,0.11,72
720,0.21,72
740,0.14,72
760,0.03,72
780,0.00,72
800,-0.09,72
820,-0.24,72
840,1.48,72
860,-0.42,72
880,-0.11,72
900,0.02,72
920,0.09,72
940,0.20,72
960,0.34,72
980,0.26,72
1000,0.12,72
